relative_path,extension,size_bytes,modified_utc,sha256,project,asset_type,lifecycle_hint,duplicate_group,duplicate_of,read_error
03_drone_systems/deliverables/drone_program_brief_final.md,.md,112,2026-01-15T00:00:00+00:00,0f2425395117075927c0f0514db04b5f4916aa003498c3e8593dc82e9a445265,Drone systems,Document,Final/release hint,,,
03_drone_systems/research/inspection_use_cases.md,.md,179,2026-01-15T00:00:00+00:00,3dd31d4ee652736b291ad1ece0b2ddbf699ca9bd65fdb13c36144673614917d0,Drone systems,Document,No status hint,,,
03_drone_systems/technical/coverage_model.py,.py,247,2026-01-15T00:00:00+00:00,388bbce168768084f4dba562925afc8e57a62698fe5cdf30a9086c349e47b8dc,Drone systems,Source code,No status hint,,,
03_drone_systems/technical/sample_flight_data.json,.json,192,2026-01-15T00:00:00+00:00,06d232ff4eb5f89bc6471e20c00265e665d631ade245365b1a76eb2c19547267,Drone systems,Structured data,No status hint,,,
04_publishing_workflow/docs/workflow_overview.md,.md,115,2026-01-15T00:00:00+00:00,a75c1be4aff7649410ee4cce40838efbf56cfa707a4845e3aa02159623607192,Publishing workflow,Document,No status hint,,,
04_publishing_workflow/outputs/release_checklist_final.txt,.txt,104,2026-01-15T00:00:00+00:00,8af882a38e562a2d61be7a3286beee0dfa51965f2c84f62905698d5c6043fa5a,Publishing workflow,Document,Final/release hint,,,
04_publishing_workflow/qa/validation_rules.json,.json,109,2026-01-15T00:00:00+00:00,54c63bcdf43e4247f62b564228c2f9f9639174166c93e2811b90d5afa0b66100,Publishing workflow,Structured data,No status hint,,,
04_publishing_workflow/tools/link_check_stub.py,.py,165,2026-01-15T00:00:00+00:00,8fe2decb3782a6447d6d2a956576ca757eb989f826686534cf80a81d0405ac67,Publishing workflow,Source code,No status hint,,,
05_cross_project/archive/portfolio_map_backup.md,.md,246,2026-01-15T00:00:00+00:00,f58a6b953e39fc589a7a78833731efcb0def428e972d6750aaebcba871384fc8,Cross-project / General,Document,Archive/backup hint,DUP-003,05_cross_project/strategy/portfolio_map.md,
05_cross_project/archive/prior_demo_bundle.zip,.zip,184,2026-01-15T00:00:00+00:00,e39371c270ee95942bbda30451a6e090cdf09e933a63f4ad5c164bf8df43da2e,Cross-project / General,Archive,Archive/backup hint,,,
05_cross_project/empty_placeholder.txt,.txt,0,2026-01-15T00:00:00+00:00,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Cross-project / General,Document,No status hint,,,
05_cross_project/finance/budget_template.csv,.csv,86,2026-01-15T00:00:00+00:00,3fe7267d5e53b62a1d75f4242a1028088cb17df4e7227307f405e4e693b9cd29,Cross-project / General,Structured data,No status hint,,,
05_cross_project/strategy/portfolio_map.md,.md,246,2026-01-15T00:00:00+00:00,f58a6b953e39fc589a7a78833731efcb0def428e972d6750aaebcba871384fc8,Cross-project / General,Document,No status hint,DUP-003,,
05_cross_project/temp/meeting_notes_temp.txt,.txt,78,2026-01-15T00:00:00+00:00,8f6c8f71ccb741b9476bcccf858f08f974a5701cd3fe69d0554d28836df3d1b3,Cross-project / General,Document,Working-copy hint,,,
README_SYNTHETIC.txt,.txt,91,2026-01-15T00:00:00+00:00,53db92168b749a518f1aa387f72c4903c9e6d1ba623b8db82afb83c2f65e9e5b,Cross-project / General,Document,No status hint,,,
